Q12396	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
A0A7J6K7I9	A0A7J6K7I9	Toxoplasma gondii	Other	553	64.0	
Q96DU3	Q96DU3	Homo sapiens	Metazoa	332	21.0	
Q15762	Q15762	Homo sapiens	Metazoa	336	18.0	
P18418	P18418	Rattus norvegicus	Metazoa	416	17.0	
Q5B1W7	Q5B1W7	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	385	18.0	
P00688	P00688	Mus musculus	Metazoa	508	15.0	
P80915	P80915	Macadamia integrifolia	Plants	102	26.0	
Q01638	Q01638	Homo sapiens	Metazoa	556	18.0	
Q9HE18	Q9HE18	Talaromyces funiculosus	Fungi	353	18.0	
Q42502	Q42502	Solanum tuberosum	Plants	386	23.0	
Q9NJP7	Q9NJP7	Olivierus martensii	Metazoa	56	28.0	
P00996	P00996	Bos taurus	Metazoa	79	23.0	
P07529	P07529	Naganishia albida	Fungi	332	21.0	
Q28143	Q28143	Bos taurus	Metazoa	456	35.0	
P43652	P43652	Homo sapiens	Metazoa	599	21.0	
Q8RUW5	Q8RUW5	Arabidopsis thaliana	Plants	433	19.0	
Q8ISL8	Q8ISL8	Apis mellifera	Metazoa	78	24.0	
P07981	P07981	Trichoderma reesei	Fungi	459	22.0	
P30440	P30440	Felis catus	Metazoa	109	17.0	
P13691	P13691	Hordeum vulgare	Plants	152	30.0	
O64392	O64392	Triticum aestivum	Plants	146	21.0	
O35310	O35310	Mus musculus	Metazoa	311	20.0	
P05160	P05160	Homo sapiens	Metazoa	661	20.0	
P32472	P32472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	17.0	
E0D877	E0D877	Aedes albopictus	Metazoa	564	25.0	
Q14802	Q14802	Homo sapiens	Metazoa	87	20.0	
P07204	P07204	Homo sapiens	Metazoa	575	18.0	
Q9H9K5	Q9H9K5	Homo sapiens	Metazoa	563	26.0	
P80109	P80109	Bos taurus	Metazoa	839	23.0	
Q8T113	Q8T113	Bombyx mori	Metazoa	227	17.0	
P00635	P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17.0	
P22063	P22063	Rattus norvegicus	Metazoa	1040	30.0	
